log start
[22:24:22] init;
[22:24:31] {y=24, x=269, vx=-39.8125, vy=20.7939, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:31] {y=24, x=269, vx=-39.8125, vy=21.0434, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:31] {y=24, x=269, vx=-39.8125, vy=21.4035, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:31] {y=24, x=269, vx=-39.8125, vy=21.875, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:31] {y=24, x=269, vx=-39.8125, vy=22.4571, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:31] {y=24, x=269, vx=-39.8125, vy=23.1506, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:32] {y=24, x=276, vx=-40.6464, vy=18.647, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:32] {y=24, x=275, vx=-40.1466, vy=19.5068, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:32] {y=24, x=275, vx=-40.1466, vy=20.4224, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:32] {y=24, x=275, vx=-40.1466, vy=21.4485, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:32] {y=24, x=275, vx=-40.1466, vy=22.5861, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:32] {y=24, x=275, vx=-40.1466, vy=23.8342, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:33] {y=24, x=284, vx=-39.315, vy=12.5465, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:33] {y=24, x=285, vx=-39.1479, vy=12.7411, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:33] {y=24, x=287, vx=-39.4814, vy=12.9898, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:33] {y=24, x=288, vx=-39.9811, vy=13.295, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:33] {y=24, x=288, vx=-39.9811, vy=13.6551, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:33] {y=24, x=288, vx=-40.6471, vy=14.0717, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:34] {y=24, x=269, vx=-39.8125, vy=26.9852, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:34] {y=24, x=269, vx=-39.8125, vy=26.9852, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:34] {y=24, x=269, vx=-39.1464, vy=26.9852, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:34] {y=24, x=271, vx=-39.4798, vy=26.9852, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:34] {y=24, x=272, vx=-39.3135, vy=26.9852, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:34] {y=24, x=273, vx=-39.1472, vy=26.9852, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:35] {y=24, x=282, vx=-39.978, vy=26.342, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:35] {y=24, x=282, vx=-39.978, vy=27.3125, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:35] {y=24, x=282, vx=-39.978, vy=28.3943, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:35] {y=24, x=282, vx=-39.978, vy=29.5876, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:35] {y=24, x=282, vx=-39.978, vy=30.8914, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:35] {y=24, x=282, vx=-39.978, vy=32.3059, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:36] {y=24, x=282, vx=-39.978, vy=36.9797, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:36] {y=24, x=282, vx=-39.978, vy=36.9797, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:36] {y=24, x=282, vx=-39.978, vy=36.9797, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:36] {y=24, x=282, vx=-39.312, vy=36.9797, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:36] {y=24, x=283, vx=-39.1457, vy=35.73, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:36] {y=24, x=285, vx=-39.4791, vy=34.5367, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:37] {y=24, x=331, vx=-39.8178, vy=26.9852, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:37] {y=24, x=331, vx=-39.8178, vy=26.9852, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:37] {y=24, x=331, vx=-39.8178, vy=26.9852, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:37] {y=24, x=331, vx=-39.8178, vy=26.9852, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:37] {y=24, x=331, vx=-39.8178, vy=26.9852, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:37] {y=24, x=331, vx=-39.8178, vy=26.9852, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:38] {y=24, x=331, vx=-39.8178, vy=26.9852, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:38] {y=24, x=331, vx=-39.8178, vy=26.9852, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:38] {y=24, x=331, vx=-39.8178, vy=26.9852, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:38] {y=24, x=331, vx=-39.8178, vy=26.9852, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:38] {y=24, x=331, vx=-39.8178, vy=26.9852, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:38] {y=24, x=331, vx=-39.8178, vy=26.9852, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:39] {y=24, x=358, vx=-39.3219, vy=18.5364, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:39] {y=24, x=359, vx=-39.1548, vy=19.3962, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:39] {y=24, x=361, vx=-40.1543, vy=20.3117, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:39] {y=24, x=361, vx=-40.1543, vy=21.2822, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:39] {y=24, x=361, vx=-40.1543, vy=22.3083, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:39] {y=24, x=361, vx=-40.1543, vy=23.3902, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:40] {y=24, x=381, vx=-40.1451, vy=20.7932, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:40] {y=24, x=381, vx=-40.1451, vy=21.209, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:40] {y=24, x=381, vx=-40.1451, vy=21.7361, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:40] {y=24, x=381, vx=-40.1451, vy=22.374, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:40] {y=24, x=381, vx=-40.1451, vy=23.1224, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:40] {y=24, x=381, vx=-40.1451, vy=23.9822, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:41] {y=24, x=381, vx=-40.1451, vy=26.4168, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:41] {y=24, x=381, vx=-40.1451, vy=26.9852, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:41] {y=24, x=381, vx=-40.1451, vy=26.9852, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:41] {y=24, x=381, vx=-40.1451, vy=26.9852, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:41] {y=24, x=381, vx=-40.1451, vy=26.9852, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:41] {y=24, x=381, vx=-40.1451, vy=26.9852, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:42] {y=24, x=426, vx=-39.9841, vy=20.3117, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:42] {y=24, x=426, vx=-39.9841, vy=21.2822, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:42] {y=24, x=426, vx=-39.9841, vy=22.3083, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:42] {y=24, x=426, vx=-39.9841, vy=23.3902, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:42] {y=24, x=426, vx=-39.9841, vy=24.5277, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:42] {y=24, x=426, vx=-39.9841, vy=25.721, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:43] {y=24, x=441, vx=-40.1527, vy=31.9824, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:43] {y=24, x=441, vx=-40.1527, vy=31.9824, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:43] {y=24, x=441, vx=-40.1527, vy=31.9824, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:43] {y=24, x=441, vx=-40.1527, vy=31.9824, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:43] {y=24, x=441, vx=-40.1527, vy=31.9824, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:43] {y=24, x=441, vx=-40.1527, vy=31.9824, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:44] {y=24, x=457, vx=-40.1543, vy=36.9797, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:44] {y=24, x=457, vx=-40.1543, vy=36.9797, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:44] {y=24, x=457, vx=-40.1543, vy=36.9797, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:44] {y=24, x=457, vx=-40.8211, vy=36.9797, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:44] {y=24, x=455, vx=-40.4877, vy=36.9797, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:44] {y=24, x=454, vx=-40.654, vy=36.9797, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:45] {y=24, x=485, vx=-39.8163, vy=29.2801, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:45] {y=24, x=485, vx=-39.8163, vy=30.529, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:45] {y=24, x=485, vx=-39.8163, vy=31.8878, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:45] {y=24, x=485, vx=-39.8163, vy=31.9824, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:45] {y=24, x=485, vx=-39.8163, vy=31.9824, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:45] {y=24, x=485, vx=-39.8163, vy=31.9824, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:46] {y=24, x=479, vx=-39.4829, vy=5.2208, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:46] {y=24, x=480, vx=-39.9826, vy=4.7485, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:46] {y=24, x=480, vx=-39.9826, vy=4.332, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:46] {y=24, x=480, vx=-39.9826, vy=4.026, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:46] {y=24, x=480, vx=-39.9826, vy=3.8315, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:46] {y=24, x=480, vx=-39.9826, vy=3.7483, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:47] {y=24, x=509, vx=-39.8193, vy=19.458, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:47] {y=24, x=509, vx=-39.1533, vy=20.2065, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:47] {y=24, x=511, vx=-39.4867, vy=18.9575, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:47] {y=24, x=512, vx=-39.3204, vy=17.7643, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:47] {y=24, x=513, vx=-39.1533, vy=16.626, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:47] {y=24, x=515, vx=-39.4867, vy=15.5434, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:48] {y=24, x=564, vx=-39.9925, vy=27.9846, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:48] {y=24, x=564, vx=-39.9925, vy=27.9846, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:48] {y=24, x=564, vx=-39.9925, vy=27.9846, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:48] {y=24, x=564, vx=-39.9925, vy=27.9846, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:48] {y=24, x=564, vx=-39.9925, vy=27.9846, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:48] {y=24, x=564, vx=-39.9925, vy=27.9846, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:49] {y=24, x=584, vx=-40.6609, vy=14.2982, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:49] {y=24, x=583, vx=-40.8272, vy=13.9931, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:49] {y=24, x=581, vx=-40.4945, vy=13.7428, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:49] {y=24, x=580, vx=-40.6609, vy=13.5483, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
